Iteration,Memory Allocated,Memory Cached
0,1.9173,2.125
1,1.9173,2.125
2,1.9173,2.125
3,1.9173,2.125
4,1.9173,2.125
5,1.9173,2.125
6,1.9173,2.125
7,1.9173,2.125
8,1.9173,2.125
9,1.9173,2.125
10,1.9173,2.125
11,1.9173,2.125
12,1.9173,2.125
13,1.9173,2.125
14,1.9173,2.125
15,1.9173,2.125
16,1.9173,2.125
17,1.9173,2.125
18,1.9173,2.125
19,1.9173,2.125
20,1.9173,2.125
21,1.9173,2.125
22,1.9173,2.125
23,1.9173,2.125
24,1.9173,2.125
25,1.9173,2.125
26,1.9173,2.125
27,1.9173,2.125
28,1.9173,2.125
29,1.9173,2.125
30,1.9173,2.125
31,1.9173,2.125
32,1.9173,2.125
33,1.9173,2.125
34,1.9173,2.125
35,1.9173,2.125
36,1.9173,2.125
37,1.9173,2.125
38,1.9173,2.125
39,1.9173,2.125
40,1.9173,2.125
41,1.9173,2.125
42,1.9173,2.125
43,1.9173,2.125
44,1.9173,2.125
45,1.9173,2.125
46,1.9173,2.125
47,1.9173,2.125
48,1.9173,2.125
49,1.9173,2.125
50,1.9173,2.125
51,1.9173,2.125
52,1.9173,2.125
53,1.9173,2.125
54,1.9173,2.125
55,1.9173,2.125
56,1.9173,2.125
57,1.9173,2.125
58,1.9173,2.125
59,1.9173,2.125
60,1.9173,2.125
61,1.9173,2.125
62,1.9173,2.125
63,1.9173,2.125
64,1.9173,2.125
65,1.9173,2.125
66,1.9173,2.125
67,1.9173,2.125
68,1.9173,2.125
69,1.9173,2.125
70,1.9173,2.125
71,1.9173,2.125
72,1.9173,2.125
73,1.9173,2.125
74,1.9173,2.125
75,1.9173,2.125
76,1.9173,2.125
77,1.9173,2.125
78,1.9173,2.125
79,1.9173,2.125
Iteration,Memory Allocated,Memory Cached
0,1.9173,2.125
1,1.9173,2.125
2,1.9173,2.125
3,1.9173,2.125
4,1.9173,2.125
5,1.9173,2.125
6,1.9173,2.125
7,1.9173,2.125
8,1.9173,2.125
9,1.9173,2.125
10,1.9173,2.125
11,1.9173,2.125
12,1.9173,2.125
13,1.9173,2.125
14,1.9173,2.125
15,1.9173,2.125
16,1.9173,2.125
17,1.9173,2.125
18,1.9173,2.125
19,1.9173,2.125
20,1.9173,2.125
21,1.9173,2.125
22,1.9173,2.125
23,1.9173,2.125
24,1.9173,2.125
25,1.9173,2.125
26,1.9173,2.125
27,1.9173,2.125
28,1.9173,2.125
29,1.9173,2.125
30,1.9173,2.125
31,1.9173,2.125
32,1.9173,2.125
33,1.9173,2.125
34,1.9173,2.125
35,1.9173,2.125
36,1.9173,2.125
37,1.9173,2.125
38,1.9173,2.125
39,1.9173,2.125
40,1.9173,2.125
41,1.9173,2.125
42,1.9173,2.125
43,1.9173,2.125
44,1.9173,2.125
45,1.9173,2.125
46,1.9173,2.125
47,1.9173,2.125
48,1.9173,2.125
49,1.9173,2.125
50,1.9173,2.125
51,1.9173,2.125
