coalition,value,iteration
"(2, 9, 1, 6, 3, 8, 5, 7, 4, 0)",0.1,0
"(9, 1, 6, 3, 8, 5, 7, 4, 0, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.1,0
"(2, 1, 6, 3, 8, 5, 7, 4, 0, '1_of_9', '2_of_9', '3_of_9', '4_of_9', '5_of_9')",0.1,0
"(2, 9, 6, 3, 8, 5, 7, 4, 0, '1_of_1', '2_of_1', '3_of_1', '4_of_1', '5_of_1')",0.1,0
"(2, 9, 1, 3, 8, 5, 7, 4, 0, '1_of_6', '2_of_6', '3_of_6', '4_of_6', '5_of_6')",0.103,0
"(2, 9, 1, 6, 8, 5, 7, 4, 0, '1_of_3', '2_of_3', '3_of_3', '4_of_3', '5_of_3')",0.1,0
"(2, 9, 1, 6, 3, 5, 7, 4, 0, '1_of_8', '2_of_8', '3_of_8', '4_of_8', '5_of_8')",0.0998,0
"(2, 9, 1, 6, 3, 8, 7, 4, 0, '1_of_5', '2_of_5', '3_of_5', '4_of_5', '5_of_5')",0.0905,0
"(2, 9, 1, 6, 3, 8, 5, 4, 0, '1_of_7', '2_of_7', '3_of_7', '4_of_7', '5_of_7')",0.1,0
"(2, 9, 1, 6, 3, 8, 5, 7, 0, '1_of_4', '2_of_4', '3_of_4', '4_of_4', '5_of_4')",0.1108,0
"(2, 9, 1, 6, 3, 8, 5, 7, 4, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.1,0
"(5, 9, 6, 2, 0, 1, 7, 3, 4, 8)",0.1,1
"(9, 6, 2, 0, 1, 7, 3, 4, 8, '1_of_5', '2_of_5', '3_of_5', '4_of_5', '5_of_5')",0.1,1
"(5, 6, 2, 0, 1, 7, 3, 4, 8, '1_of_9', '2_of_9', '3_of_9', '4_of_9', '5_of_9')",0.1023,1
"(5, 9, 2, 0, 1, 7, 3, 4, 8, '1_of_6', '2_of_6', '3_of_6', '4_of_6', '5_of_6')",0.1003,1
"(5, 9, 6, 0, 1, 7, 3, 4, 8, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.1,1
"(5, 9, 6, 2, 1, 7, 3, 4, 8, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.1,1
"(5, 9, 6, 2, 0, 7, 3, 4, 8, '1_of_1', '2_of_1', '3_of_1', '4_of_1', '5_of_1')",0.1,1
"(5, 9, 6, 2, 0, 1, 3, 4, 8, '1_of_7', '2_of_7', '3_of_7', '4_of_7', '5_of_7')",0.1,1
"(5, 9, 6, 2, 0, 1, 7, 4, 8, '1_of_3', '2_of_3', '3_of_3', '4_of_3', '5_of_3')",0.1114,1
"(5, 9, 6, 2, 0, 1, 7, 3, 8, '1_of_4', '2_of_4', '3_of_4', '4_of_4', '5_of_4')",0.1,1
"(5, 9, 6, 2, 0, 1, 7, 3, 4, '1_of_8', '2_of_8', '3_of_8', '4_of_8', '5_of_8')",0.1,1
"(2, 5, 1, 0, 3, 6, 8, 7, 4, 9)",0.1,2
"(5, 1, 0, 3, 6, 8, 7, 4, 9, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.1,2
"(2, 1, 0, 3, 6, 8, 7, 4, 9, '1_of_5', '2_of_5', '3_of_5', '4_of_5', '5_of_5')",0.1,2
"(2, 5, 0, 3, 6, 8, 7, 4, 9, '1_of_1', '2_of_1', '3_of_1', '4_of_1', '5_of_1')",0.1,2
"(2, 5, 1, 3, 6, 8, 7, 4, 9, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.1006,2
"(2, 5, 1, 0, 6, 8, 7, 4, 9, '1_of_3', '2_of_3', '3_of_3', '4_of_3', '5_of_3')",0.103,2
"(2, 5, 1, 0, 3, 8, 7, 4, 9, '1_of_6', '2_of_6', '3_of_6', '4_of_6', '5_of_6')",0.1,2
"(2, 5, 1, 0, 3, 6, 7, 4, 9, '1_of_8', '2_of_8', '3_of_8', '4_of_8', '5_of_8')",0.1,2
"(2, 5, 1, 0, 3, 6, 8, 4, 9, '1_of_7', '2_of_7', '3_of_7', '4_of_7', '5_of_7')",0.1127,2
"(2, 5, 1, 0, 3, 6, 8, 7, 9, '1_of_4', '2_of_4', '3_of_4', '4_of_4', '5_of_4')",0.1,2
"(2, 5, 1, 0, 3, 6, 8, 7, 4, '1_of_9', '2_of_9', '3_of_9', '4_of_9', '5_of_9')",0.1099,2
"(8, 4, 5, 1, 0, 7, 6, 2, 3, 9)",0.1029,3
"(4, 5, 1, 0, 7, 6, 2, 3, 9, '1_of_8', '2_of_8', '3_of_8', '4_of_8', '5_of_8')",0.1057,3
"(8, 5, 1, 0, 7, 6, 2, 3, 9, '1_of_4', '2_of_4', '3_of_4', '4_of_4', '5_of_4')",0.1045,3
"(8, 4, 1, 0, 7, 6, 2, 3, 9, '1_of_5', '2_of_5', '3_of_5', '4_of_5', '5_of_5')",0.1012,3
"(8, 4, 5, 0, 7, 6, 2, 3, 9, '1_of_1', '2_of_1', '3_of_1', '4_of_1', '5_of_1')",0.1228,3
"(8, 4, 5, 1, 7, 6, 2, 3, 9, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.1105,3
"(8, 4, 5, 1, 0, 6, 2, 3, 9, '1_of_7', '2_of_7', '3_of_7', '4_of_7', '5_of_7')",0.1034,3
"(8, 4, 5, 1, 0, 7, 2, 3, 9, '1_of_6', '2_of_6', '3_of_6', '4_of_6', '5_of_6')",0.1005,3
"(8, 4, 5, 1, 0, 7, 6, 3, 9, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.1029,3
"(8, 4, 5, 1, 0, 7, 6, 2, 9, '1_of_3', '2_of_3', '3_of_3', '4_of_3', '5_of_3')",0.1503,3
"(8, 4, 5, 1, 0, 7, 6, 2, 3, '1_of_9', '2_of_9', '3_of_9', '4_of_9', '5_of_9')",0.1064,3
